GEO,quarter,VALUE
Manitoba,2023-Q1,2288643
Manitoba,2023-Q2,2223696
Manitoba,2023-Q3,2429720
Manitoba,2023-Q4,2620425
Manitoba,2024-Q1,2793278
Manitoba,2024-Q2,909497
New Brunswick,2010-Q1,8163953
New Brunswick,2010-Q2,8339408
New Brunswick,2010-Q3,8415719
New Brunswick,2010-Q4,8426149
New Brunswick,2011-Q1,8528106
New Brunswick,2011-Q2,8698305
New Brunswick,2011-Q3,8651599
New Brunswick,2011-Q4,8622339
New Brunswick,2012-Q1,8766050
New Brunswick,2012-Q2,8670289
New Brunswick,2012-Q3,8622758
New Brunswick,2012-Q4,8629771
New Brunswick,2013-Q1,8575686
New Brunswick,2013-Q2,8244713
New Brunswick,2013-Q3,8170997
New Brunswick,2013-Q4,8026259
New Brunswick,2014-Q1,7865518
New Brunswick,2014-Q2,7573832
New Brunswick,2014-Q3,7446503
New Brunswick,2014-Q4,7363664
New Brunswick,2015-Q1,6522747
New Brunswick,2015-Q2,6526760
New Brunswick,2015-Q3,6021814
New Brunswick,2015-Q4,5863345
New Brunswick,2016-Q1,5611117
New Brunswick,2016-Q2,5771814
New Brunswick,2016-Q3,5846417
New Brunswick,2016-Q4,5882707
New Brunswick,2017-Q1,5817034
New Brunswick,2017-Q2,5451766
New Brunswick,2017-Q3,5724235
New Brunswick,2017-Q4,5768442
New Brunswick,2018-Q1,5849461
New Brunswick,2018-Q2,5851169
New Brunswick,2018-Q3,5389181
New Brunswick,2018-Q4,5497372
New Brunswick,2019-Q1,5512853
New Brunswick,2019-Q2,5761663
New Brunswick,2019-Q3,5822503
New Brunswick,2019-Q4,5727021
New Brunswick,2020-Q1,3861660
New Brunswick,2020-Q2,366162
New Brunswick,2020-Q3,373785
New Brunswick,2020-Q4,479718
New Brunswick,2021-Q1,534888
New Brunswick,2021-Q2,480438
New Brunswick,2021-Q3,578636
New Brunswick,2021-Q4,959882
New Brunswick,2022-Q1,968523
New Brunswick,2022-Q2,2555655
New Brunswick,2022-Q3,2927594
New Brunswick,2022-Q4,3918095
New Brunswick,2023-Q1,4279206
New Brunswick,2023-Q2,4050462
New Brunswick,2023-Q3,4214827
New Brunswick,2023-Q4,4557889
New Brunswick,2024-Q1,5184998
New Brunswick,2024-Q2,1795848
Newfoundland and Labrador,2010-Q1,226806
Newfoundland and Labrador,2010-Q2,176518
Newfoundland and Labrador,2010-Q3,188676
Newfoundland and Labrador,2010-Q4,189308
Newfoundland and Labrador,2011-Q1,180895
Newfoundland and Labrador,2011-Q2,200985
Newfoundland and Labrador,2011-Q3,180888
Newfoundland and Labrador,2011-Q4,190595
Newfoundland and Labrador,2012-Q1,204250
Newfoundland and Labrador,2012-Q2,201616
Newfoundland and Labrador,2012-Q3,196215
Newfoundland and Labrador,2012-Q4,212154
Newfoundland and Labrador,2013-Q1,222491
Newfoundland and Labrador,2013-Q2,224865
Newfoundland and Labrador,2013-Q3,227488
Newfoundland and Labrador,2013-Q4,214419
Newfoundland and Labrador,2014-Q1,241352
Newfoundland and Labrador,2014-Q2,252617
Newfoundland and Labrador,2014-Q3,296608
Newfoundland and Labrador,2014-Q4,273354
Newfoundland and Labrador,2015-Q1,274686
Newfoundland and Labrador,2015-Q2,296454
Newfoundland and Labrador,2015-Q3,230754
Newfoundland and Labrador,2015-Q4,249089
Newfoundland and Labrador,2016-Q1,261547
Newfoundland and Labrador,2016-Q2,272223
Newfoundland and Labrador,2016-Q3,273081
Newfoundland and Labrador,2016-Q4,255089
Newfoundland and Labrador,2017-Q1,239824
Newfoundland and Labrador,2017-Q2,263287
