GEO,Traveller characteristics,VALUE
Nova Scotia,"Canadian residents returning from the United States of America, land, automobile",36158
Nova Scotia,"Canadian residents returning from the United States of America, other modes",193174
Nova Scotia,Canadian-resident visitors returning to Canada,5786240
Nova Scotia,International travellers entering or returning to Canada,6811070
Nova Scotia,Non-resident visitors entering Canada,5519431
Nova Scotia,Other travellers entering or returning to Canada,1158012
Nova Scotia,Residents of countries other than the United States of America entering Canada,1769612
Nova Scotia,"Residents of countries other than the United States of America, air",1214513
Nova Scotia,"Residents of countries other than the United States of America, land or water",554877
Nova Scotia,United States of America residents entering Canada,3749661
Nova Scotia,"United States of America residents, air",1485117
Nova Scotia,"United States of America residents, land, automobile",159316
Nova Scotia,"United States of America residents, other modes",2104948
Nunavut,Canadian residents returning from countries other than the United States of America,17458
Nunavut,"Canadian residents returning from countries other than the United States of America, air",11407
Nunavut,Canadian residents returning from the United States of America,8227
Nunavut,"Canadian residents returning from the United States of America, air",7757
Nunavut,"Canadian residents returning from the United States of America, other modes",458
Nunavut,Canadian-resident visitors returning to Canada,25789
Nunavut,International travellers entering or returning to Canada,66927
Nunavut,Non-resident visitors entering Canada,68979
Nunavut,Other travellers entering or returning to Canada,19350
Nunavut,Residents of countries other than the United States of America entering Canada,43747
Nunavut,"Residents of countries other than the United States of America, air",17122
Nunavut,"Residents of countries other than the United States of America, land or water",26473
Nunavut,United States of America residents entering Canada,25055
Nunavut,"United States of America residents, air",15197
Nunavut,"United States of America residents, other modes",9712
Ontario,Canadian residents returning from countries other than the United States of America,129533139
Ontario,"Canadian residents returning from countries other than the United States of America, air",129505687
Ontario,Canadian residents returning from the United States of America,556281366
Ontario,"Canadian residents returning from the United States of America, air",107592201
Ontario,"Canadian residents returning from the United States of America, land, automobile",434271734
Ontario,"Canadian residents returning from the United States of America, other modes",14416932
Ontario,Canadian-resident visitors returning to Canada,685814695
Ontario,International travellers entering or returning to Canada,576794060
Ontario,Non-resident visitors entering Canada,350573970
Ontario,Other travellers entering or returning to Canada,58599462
Ontario,Residents of countries other than the United States of America entering Canada,59222977
Ontario,"Residents of countries other than the United States of America, air",51170833
Ontario,"Residents of countries other than the United States of America, land or water",8051959
