GEO,Traveller characteristics,VALUE
Nunavut,Canadian residents returning from countries other than the United States of America,8720
Nunavut,"Canadian residents returning from countries other than the United States of America, air",5698
Nunavut,Canadian residents returning from the United States of America,4110
Nunavut,"Canadian residents returning from the United States of America, air",3875
Nunavut,"Canadian residents returning from the United States of America, other modes",229
Nunavut,Canadian-resident visitors returning to Canada,12887
Nunavut,Non-resident visitors entering Canada,34445
Nunavut,Residents of countries other than the United States of America entering Canada,21861
Nunavut,"Residents of countries other than the United States of America, air",8556
Nunavut,"Residents of countries other than the United States of America, land or water",13233
Nunavut,United States of America residents entering Canada,12489
Nunavut,"United States of America residents, air",7559
Nunavut,"United States of America residents, other modes",4848
Ontario,Canadian residents returning from countries other than the United States of America,64766563
Ontario,"Canadian residents returning from countries other than the United States of America, air",64752836
Ontario,Canadian residents returning from the United States of America,278140637
Ontario,"Canadian residents returning from the United States of America, air",53796057
Ontario,"Canadian residents returning from the United States of America, land, automobile",217135827
Ontario,"Canadian residents returning from the United States of America, other modes",7208420
Ontario,Canadian-resident visitors returning to Canada,342907304
Ontario,Non-resident visitors entering Canada,175286939
Ontario,Residents of countries other than the United States of America entering Canada,29611450
Ontario,"Residents of countries other than the United States of America, air",25585407
Ontario,"Residents of countries other than the United States of America, land or water",4025940
Ontario,United States of America residents entering Canada,145675333
Ontario,"United States of America residents, air",26460131
Ontario,"United States of America residents, land, automobile",110418622
Ontario,"United States of America residents, other modes",8796231
Prince Edward Island,Canadian residents returning from countries other than the United States of America,19498
Prince Edward Island,"Canadian residents returning from countries other than the United States of America, air",16403
Prince Edward Island,Canadian residents returning from the United States of America,9070
Prince Edward Island,"Canadian residents returning from the United States of America, air",7055
Prince Edward Island,"Canadian residents returning from the United States of America, other modes",2015
Prince Edward Island,Canadian-resident visitors returning to Canada,28570
Prince Edward Island,Non-resident visitors entering Canada,43189
Prince Edward Island,Residents of countries other than the United States of America entering Canada,7096
Prince Edward Island,"Residents of countries other than the United States of America, air",1885
Prince Edward Island,"Residents of countries other than the United States of America, land or water",5211
Prince Edward Island,United States of America residents entering Canada,36093
Prince Edward Island,"United States of America residents, air",12833
Prince Edward Island,"United States of America residents, other modes",23260
Quebec,Canadian residents returning from countries other than the United States of America,33567394
Quebec,"Canadian residents returning from countries other than the United States of America, air",33557434
Quebec,Canadian residents returning from the United States of America,64678114
Quebec,"Canadian residents returning from the United States of America, air",14892071
Quebec,"Canadian residents returning from the United States of America, land, automobile",46272006
Quebec,"Canadian residents returning from the United States of America, other modes",3513693
Quebec,Canadian-resident visitors returning to Canada,98245606
Quebec,Non-resident visitors entering Canada,42335900
Quebec,Residents of countries other than the United States of America entering Canada,13437519
Quebec,"Residents of countries other than the United States of America, air",12198303
Quebec,"Residents of countries other than the United States of America, land or water",1239114
Quebec,United States of America residents entering Canada,28898211
Quebec,"United States of America residents, air",9117910
Quebec,"United States of America residents, land, automobile",18233135
Quebec,"United States of America residents, other modes",1546815
Saskatchewan,Canadian residents returning from countries other than the United States of America,971044
Saskatchewan,"Canadian residents returning from countries other than the United States of America, air",970655
Saskatchewan,Canadian residents returning from the United States of America,4893678
Saskatchewan,"Canadian residents returning from the United States of America, air",1078065
Saskatchewan,"Canadian residents returning from the United States of America, land, automobile",3681088
Saskatchewan,"Canadian residents returning from the United States of America, other modes",134189
Saskatchewan,Canadian-resident visitors returning to Canada,5864812
Saskatchewan,Non-resident visitors entering Canada,1487997
Saskatchewan,Residents of countries other than the United States of America entering Canada,45259
Saskatchewan,"Residents of countries other than the United States of America, air",28930
Saskatchewan,"Residents of countries other than the United States of America, land or water",16250
Saskatchewan,United States of America residents entering Canada,1442568
Saskatchewan,"United States of America residents, air",358163
Saskatchewan,"United States of America residents, land, automobile",1062977
Saskatchewan,"United States of America residents, other modes",21093
Yukon,Canadian residents returning from countries other than the United States of America,4790
Yukon,"Canadian residents returning from countries other than the United States of America, air",4639
Yukon,Canadian residents returning from the United States of America,946041
Yukon,"Canadian residents returning from the United States of America, air",14816
Yukon,"Canadian residents returning from the United States of America, land, automobile",751930
Yukon,"Canadian residents returning from the United States of America, other modes",179042
Yukon,Canadian-resident visitors returning to Canada,950831
Yukon,Non-resident visitors entering Canada,4189310
Yukon,Residents of countries other than the United States of America entering Canada,524897
Yukon,"Residents of countries other than the United States of America, air",45309
Yukon,"Residents of countries other than the United States of America, land or water",479505
Yukon,United States of America residents entering Canada,3664275
Yukon,"United States of America residents, air",54800
Yukon,"United States of America residents, land, automobile",1502511
Yukon,"United States of America residents, other modes",2106643
